Station,Zip,Location,ann-tmin-prbfst-t24Fp50.txt,ann-tmin-prbfst-t24Fp60.txt,ann-tmin-prbfst-t24Fp70.txt,ann-tmin-prbfst-t24Fp80.txt,ann-tmin-prbfst-t24Fp90.txt,ann-tmin-prbfst-t28Fp50.txt,ann-tmin-prbfst-t28Fp60.txt,ann-tmin-prbfst-t28Fp70.txt,ann-tmin-prbfst-t28Fp80.txt,ann-tmin-prbfst-t28Fp90.txt,ann-tmin-prbfst-t32Fp50.txt,ann-tmin-prbfst-t32Fp60.txt,ann-tmin-prbfst-t32Fp70.txt,ann-tmin-prbfst-t32Fp80.txt,ann-tmin-prbfst-t32Fp90.txt,ann-tmin-prblst-t24Fp50.txt,ann-tmin-prblst-t24Fp60.txt,ann-tmin-prblst-t24Fp70.txt,ann-tmin-prblst-t24Fp80.txt,ann-tmin-prblst-t24Fp90.txt,ann-tmin-prblst-t28Fp50.txt,ann-tmin-prblst-t28Fp60.txt,ann-tmin-prblst-t28Fp70.txt,ann-tmin-prblst-t28Fp80.txt,ann-tmin-prblst-t28Fp90.txt,ann-tmin-prblst-t32Fp50.txt,ann-tmin-prblst-t32Fp60.txt,ann-tmin-prblst-t32Fp70.txt,ann-tmin-prblst-t32Fp80.txt,ann-tmin-prblst-t32Fp90.txt
USC00013645,35570,Hamilton,11/17S,11/21S,11/25S,12/01S,12/05S,11/02S,11/06S,11/10S,11/15S,11/22S,10/24S,10/26S,10/29S,11/02S,11/07S,03/22S,03/17S,03/13S,03/06S,02/27S,04/04S,04/01S,03/29S,03/23S,03/17S,04/14S,04/12S,04/09S,04/05S,03/31S
USC00013761,36345,Headland,12/25R,12/31R,01/04R,01/11R,01/24R,12/10R,12/15R,12/22R,12/29R,01/06R,11/25R,11/30R,12/03R,12/07R,12/17R,01/31R,01/26R,01/19R,01/09R,12/31R,02/16R,02/11R,02/05R,01/31R,01/21R,03/04R,02/28R,02/24R,02/19R,02/11R
USC00013775,36264,Heflin,11/27R,12/01R,12/04R,12/08R,12/17R,11/12R,11/15R,11/19R,11/25R,12/01R,10/31R,11/02R,11/05R,11/09R,11/15R,03/09R,03/03R,02/27R,02/22R,02/15R,03/27R,03/22R,03/18R,03/12R,03/03R,04/08R,04/05R,04/02R,03/30R,03/23R
USC00013816,36041,Highland Home,12/03S,12/06S,12/11S,12/17S,12/28S,11/20S,11/25S,11/30S,12/03S,12/09S,11/05S,11/09S,11/13S,11/19S,11/26S,03/01S,02/25S,02/20S,02/14S,02/06S,03/18S,03/14S,03/08S,03/02S,02/23S,04/01S,03/29S,03/25S,03/20S,03/12S
USC00014193,36545,Jackson,12/14S,12/21S,12/27S,01/02S,01/14S,11/27S,12/01S,12/05S,12/11S,12/24S,11/11S,11/15S,11/20S,11/25S,12/03S,02/14S,02/06S,02/02S,01/28S,01/15S,03/03S,02/28S,02/23S,02/17S,02/06S,03/21S,03/16S,03/12S,03/05S,02/27S
USC00014226,35503,Jasper,11/25R,11/30R,12/03R,12/08R,12/18R,11/09R,11/13R,11/17R,11/24R,12/01R,10/30R,11/01R,11/04R,11/08R,11/15R,03/05R,03/01R,02/26R,02/21R,02/15R,03/24R,03/19R,03/15R,03/09R,03/01R,04/08R,04/05R,04/01R,03/28R,03/20R
USC00014502,36862,Lafayette,11/22R,11/27R,12/01R,12/05R,12/13R,11/08R,11/12R,11/16R,11/22R,12/01R,10/30R,11/02R,11/05R,11/08R,11/15R,03/09R,03/03R,02/27R,02/22R,02/15R,03/27R,03/23R,03/19R,03/13R,03/03R,04/08R,04/06R,04/02R,03/30R,03/23R
USC00014798,35470,Livingston,12/02R,12/05R,12/11R,12/20R,01/01R,11/18R,11/22R,11/27R,12/02R,12/08R,11/05R,11/08R,11/11R,11/16R,11/25R,02/26R,02/20R,02/14R,02/07R,01/31R,03/13R,03/08R,03/03R,02/27R,02/19R,03/30R,03/25R,03/21R,03/16R,03/08R
USC00015121,36759,Marion Junctio,12/09R,12/14R,12/21R,12/28R,01/05R,11/26R,12/01R,12/03R,12/07R,12/17R,11/11R,11/15R,11/19R,11/25R,12/01R,02/17R,02/12R,02/06R,01/31R,01/24R,03/05R,02/28R,02/24R,02/19R,02/12R,03/21R,03/17R,03/12R,03/06R,02/28R
USC00015140,36078,Tallassee,12/15R,12/22R,12/28R,01/04R,01/15R,12/01R,12/04R,12/09R,12/15R,12/27R,11/17R,11/20R,11/25R,11/30R,12/05R,02/19R,02/14R,02/07R,02/01R,01/24R,03/09R,03/04R,02/28R,02/22R,02/14R,03/26R,03/22R,03/17R,03/13R,03/04R
